POST /songs 400 3.843 ms PostmanRuntime/7.37.3 Thu, 29 Aug 2024 13:16:05 GMT
POST /songs 201 1220.217 ms PostmanRuntime/7.37.3 Thu, 29 Aug 2024 13:16:11 GMT
GET /songs 200 178.932 ms PostmanRuntime/7.37.3 Thu, 29 Aug 2024 13:16:15 GMT
GET /api/v1/stats 200 15667.401 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 06:56:30 GMT
GET /api/v1/songs 200 16381.269 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 06:56:30 GMT
GET /api/v1/songs 304 264.098 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 06:56:31 GMT
GET /api/v1/stats 304 1228.570 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 06:56:31 GMT
GET /api/v1/songs 304 17348.008 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:18:50 GMT
GET /api/v1/songs 304 16449.075 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:07 GMT
GET /api/v1/songs 304 1879.405 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:08 GMT
GET /api/v1/stats 304 37589.913 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:10 GMT
GET /api/v1/songs 304 1342.689 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:18 GMT
GET /api/v1/stats 304 8446.356 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:19 GMT
GET /api/v1/stats 200 14950.697 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:23 GMT
GET /api/v1/stats 304 4195.973 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:23 GMT
GET /api/v1/songs 304 747.012 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:37 GMT
GET /api/v1/songs 304 338.932 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:38 GMT
GET /api/v1/stats 304 1754.167 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:39 GMT
GET /api/v1/stats 304 1189.793 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:19:40 GMT
GET /api/v1/songs 304 479.976 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:20:50 GMT
GET /api/v1/stats 304 1218.950 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:20:51 GMT
GET /api/v1/songs 304 4756.767 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:21:36 GMT
GET /api/v1/stats 304 11104.795 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:21:42 GMT
GET /api/v1/songs 304 4440.416 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:23:32 GMT
GET /api/v1/songs 304 2511.468 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:23:37 GMT
GET /api/v1/stats 304 10173.266 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:23:38 GMT
GET /api/v1/stats 304 5614.925 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:23:44 GMT
GET /api/v1/songs 304 284.743 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:24:13 GMT
GET /api/v1/stats 304 1104.969 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:24:14 GMT
GET /api/v1/songs 304 288.169 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:24:47 GMT
GET /api/v1/stats 304 1015.907 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:24:48 GMT
GET /api/v1/songs 304 345.337 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:25:25 GMT
GET /api/v1/stats 304 1186.405 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:25:26 GMT
GET /api/v1/songs 304 238.521 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:25:31 GMT
GET /api/v1/stats 304 1223.399 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:25:32 GMT
POST /api/v1/songs 400 6.806 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:31:55 GMT
POST /api/v1/songs 201 592.152 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:36:15 GMT
GET /api/v1/stats 200 1710.548 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:36:17 GMT
POST /api/v1/songs 201 1653.689 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:36:45 GMT
GET /api/v1/stats 200 1810.749 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:36:46 GMT
POST /api/v1/songs 201 259.143 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:36:59 GMT
GET /api/v1/stats 200 1549.344 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:37:00 GMT
GET /api/v1/stats 304 1076.153 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:39:23 GMT
